,0
1550,1
1551,5
1552,7
1553,3
1554,1
1555,3
1556,5
1557,1
1558,5
1559,1
1560,5
1561,1
1562,1
1563,7
1564,5
1565,1
1566,7
1567,1
1568,5
1569,7
1570,7
1571,1
1572,1
1573,5
1574,10
1575,5
1576,5
1577,3
1578,3
1579,1
1580,3
1581,1
1582,10
1583,1
1584,1
1585,7
1586,5
1587,7
1588,12
1589,7
1590,7
1591,7
1592,1
1593,1
1594,7
1595,5
1596,1
1597,7
1598,1
1599,7
1600,5
1601,1
1602,1
1603,1
1604,5
1605,7
1606,5
1607,7
1608,5
1609,7
1610,1
1611,5
1612,5
1613,7
1614,5
1615,10
1616,3
1617,7
1618,1
1619,5
1620,5
1621,10
1622,7
1623,1
1624,7
1625,7
1626,1
1627,5
1628,1
1629,7
1630,5
1631,1
1632,1
1633,7
1634,7
1635,7
1636,1
1637,3
1638,1
1639,3
1640,3
1641,1
1642,7
1643,3
1644,7
1645,1
1646,7
1647,7
1648,1
1649,1
1650,5
1651,1
1652,1
1653,7
1654,7
1655,1
1656,1
1657,5
1658,5
1659,7
1660,5
1661,7
1662,7
1663,5
1664,7
1665,1
1666,1
1667,7
1668,1
1669,1
1670,7
1671,5
1672,10
1673,7
1674,10
1675,5
1676,1
1677,5
1678,5
1679,1
1680,1
1681,1
1682,1
1683,1
1684,5
1685,1
1686,5
1687,5
1688,5
1689,1
1690,1
1691,5
1692,1
1693,1
1694,5
1695,1
1696,1
1697,1
1698,7
1699,1
1700,1
1701,1
1702,5
1703,1
1704,7
1705,5
1706,5
1707,5
1708,5
1709,1
1710,1
1711,7
1712,5
1713,7
1714,1
1715,3
1716,1
1717,1
1718,7
1719,1
1720,5
1721,5
1722,7
1723,1
1724,1
1725,1
1726,7
1727,1
1728,7
1729,1
1730,1
1731,1
1732,7
1733,1
1734,7
1735,1
1736,5
1737,1
1738,3
1739,1
1740,5
1741,1
1742,1
1743,3
1744,7
1745,7
1746,7
1747,1
1748,7
1749,5
1750,10
1751,7
1752,1
1753,1
1754,5
1755,1
1756,3
1757,5
1758,1
1759,7
1760,5
1761,1
1762,5
1763,1
1764,1
1765,7
1766,7
1767,1
1768,5
1769,1
1770,7
1771,7
1772,7
1773,5
1774,1
1775,7
1776,1
1777,7
1778,12
1779,1
1780,7
1781,1
1782,7
1783,3
1784,7
1785,1
1786,1
1787,5
1788,5
1789,5
1790,5
1791,3
1792,7
1793,5
1794,1
1795,5
1796,3
1797,5
1798,7
1799,7
1800,7
1801,1
1802,7
1803,5
1804,7
1805,5
1806,1
1807,5
1808,3
1809,3
1810,3
1811,7
1812,1
1813,1
1814,7
1815,7
1816,5
1817,1
1818,1
1819,5
1820,1
1821,1
1822,5
1823,5
1824,3
1825,1
1826,7
1827,5
1828,5
1829,7
1830,5
1831,1
1832,7
1833,1
1834,3
1835,5
1836,10
1837,7
1838,5
1839,5
1840,12
1841,5
1842,5
1843,5
1844,7
1845,1
1846,1
1847,1
1848,5
1849,1
1850,5
1851,1
1852,5
1853,5
1854,7
1855,1
1856,5
1857,5
1858,5
1859,1
1860,5
1861,1
1862,5
1863,5
1864,1
1865,5
1866,1
1867,7
1868,7
1869,3
1870,7
1871,7
1872,5
1873,1
1874,5
1875,1
1876,1
1877,1
1878,1
1879,7
1880,1
1881,3
1882,3
1883,5
1884,7
1885,1
1886,7
1887,7
1888,1
1889,5
1890,1
1891,7
1892,3
1893,7
1894,3
1895,5
1896,5
1897,1
1898,3
1899,1
1900,5
1901,5
1902,1
1903,3
1904,5
1905,5
1906,1
1907,5
1908,7
1909,1
1910,7
1911,1
1912,7
1913,5
1914,7
1915,3
1916,1
1917,7
1918,7
1919,10
1920,7
1921,1
1922,5
1923,5
1924,5
1925,1
1926,7
1927,5
1928,5
1929,7
1930,3
1931,3
1932,3
1933,1
1934,10
1935,7
1936,7
1937,1
1938,7
1939,1
1940,5
1941,1
1942,5
1943,5
1944,7
1945,1
1946,7
1947,10
1948,7
1949,3
1950,7
1951,1
1952,7
1953,1
1954,7
1955,1
1956,5
1957,7
1958,1
1959,7
1960,5
1961,5
1962,5
1963,5
1964,1
1965,5
1966,5
1967,1
1968,7
1969,5
1970,5
1971,1
1972,1
1973,1
1974,3
1975,5
1976,12
1977,5
1978,1
1979,5
1980,1
1981,7
1982,5
1983,7
1984,7
1985,5
1986,1
1987,3
1988,7
1989,7
1990,1
1991,1
1992,1
1993,1
1994,3
1995,5
1996,1
1997,7
1998,5
1999,1
2000,3
2001,1
2002,7
2003,1
2004,1
2005,5
2006,5
2007,10
2008,5
2009,3
2010,5
2011,5
2012,1
2013,3
2014,1
2015,7
2016,1
2017,7
2018,7
2019,3
2020,5
2021,5
2022,1
2023,5
2024,1
2025,5
2026,5
2027,7
2028,1
2029,3
2030,5
2031,7
2032,7
2033,5
2034,7
2035,5
2036,1
2037,3
2038,5
2039,1
2040,10
2041,7
2042,7
2043,12
2044,5
2045,1
2046,7
2047,1
2048,5
2049,1
2050,1
2051,7
2052,3
2053,7
2054,5
2055,7
2056,3
2057,5
2058,7
2059,1
2060,5
2061,7
2062,7
2063,1
2064,7
2065,5
2066,1
2067,7
2068,5
2069,5
2070,3
2071,3
2072,1
2073,5
2074,1
2075,1
2076,5
2077,1
2078,7
2079,5
2080,1
2081,7
2082,1
2083,5
2084,1
2085,5
2086,5
2087,1
2088,7
2089,3
2090,7
2091,5
2092,7
2093,7
2094,7
